label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,1,,99.0998,1.021,1.0,,,,,,,,4887473
,,3,,114.1025,1.021,1.0,,,,,,,,844043
,,18,,89.50703,1.033,1.0,,,,,,,,27872990
,,76,,57.07058,1.044,1.0,,,,,,,,20997463
,,81,,84.08111,1.044,1.0,,,,,,,,1425832399
,,82,,85.08445,1.044,1.0,,,,,,,,92644754
,,94,,149.02274,1.044,1.0,,,,,,,,25676926
,,96,,154.98964,1.044,1.0,,,,,,,,53262710
,,103,,182.98457,1.044,1.0,,,,,,,,121544874
,,123,,279.15778,1.044,1.0,,,,,,,,42644572
,,132,,83.06078,1.056,1.0,,,,,,,,848133342
,,133,,98.09654,1.056,1.0,,,,,,,,28454295
,,138,,122.08092,1.056,1.0,,,,,,,,75847600
,,158,,242.03372,1.056,1.0,,,,,,,,30773078
,,207,,199.98706,1.067,1.0,,,,,,,,74402160
,,263,,60.04509,1.104,1.0,,,,,,,,457783327
,,264,,103.09474,1.104,1.0,,,,,,,,3317742
,,285,,79.02167,1.128,1.0,,,,,,,,75711526
,,311,,137.04538,1.176,1.0,,,,,,,,26926123
,,326,,79.02168,1.2,1.0,,,,,,,,138017762
,,327,,114.09132,1.2,1.0,,,,,,,,61498190
,,339,,324.21558,1.2,1.0,,,,,,,,74925818
,,353,,137.13206,1.225,1.0,,,,,,,,29554028
,,376,,132.10162,1.31,1.0,,,,,,,,21825875
,,384,,229.11755,1.545,1.0,,,,,,,,70154186
,,408,,160.07527,2.733,1.0,,,,,,,,46238394
,,412,,160.07521,2.868,1.0,,,,,,,,47731190
,,430,,160.07526,3.222,1.0,,,,,,,,126677660
,,439,,130.15875,3.442,1.0,,,,,,,,25671222
,,543,,294.18475,5.451,1.0,,,,,,,,73185352
,,595,,294.18448,6.028,1.0,,,,,,,,36469144
,,672,,331.24661,7.156,1.0,,,,,,,,7991550
,,691,,331.24673,7.267,1.0,,,,,,,,14976802
,,695,,376.3045,7.267,1.0,,,,,,,,8572591
,,703,,264.17432,7.291,1.0,,,,,,,,256282535
,,720,,264.23135,7.329,1.0,,,,,,,,16843931
,,736,,374.28882,7.365,1.0,,,,,,,,10416840
,,754,,278.18982,7.413,1.0,,,,,,,,913627526
,,778,,331.2467,7.462,1.0,,,,,,,,7978474
,,791,,334.27295,7.498,1.0,,,,,,,,11564424
,,801,,333.2623,7.525,1.0,,,,,,,,12140017
,,824,,294.18436,7.597,1.0,,,,,,,,27160256
,,849,,297.24146,7.646,1.0,,,,,,,,11349979
,,850,,315.25198,7.646,1.0,,,,,,,,9420029
,,852,,333.26273,7.646,1.0,,,,,,,,47317240
,,887,,376.30444,7.733,1.0,,,,,,,,15265629
,,898,,355.24661,7.793,1.0,,,,,,,,7185119
,,901,,400.30441,7.793,1.0,,,,,,,,10769224
,,920,,398.28864,7.954,1.0,,,,,,,,15887780
,,943,,192.13773,8.175,1.0,,,,,,,,36698573
,,953,,149.02304,8.212,1.0,,,,,,,,66961107
,,960,,223.09584,8.212,1.0,,,,,,,,37979969
,,1003,,158.15352,8.517,1.0,,,,,,,,54550398
,,1004,,274.27341,8.517,1.0,,,,,,,,116225454
,,1010,,362.30396,8.529,1.0,,,,,,,,12425686
,,1019,,228.19531,8.554,1.0,,,,,,,,187218227
,,1022,,273.25266,8.554,1.0,,,,,,,,57565431
,,1070,,200.23665,8.833,1.0,,,,,,,,15526851
,,1087,,288.2886,8.906,1.0,,,,,,,,17703324
,,1103,,214.2523,9.014,1.0,,,,,,,,1238167518
,,1123,,288.28864,9.111,1.0,,,,,,,,10975691
,,1140,,387.17877,9.22,1.0,,,,,,,,11306447
,,1143,,404.20538,9.22,1.0,,,,,,,,11196323
,,1150,,432.23688,9.22,1.0,,,,,,,,52206674
,,1169,,330.2627,9.304,1.0,,,,,,,,19525326
,,1229,,302.3042,9.691,1.0,,,,,,,,13526208
,,1259,,421.31564,9.861,1.0,,,,,,,,12534919
,,1299,,415.21002,10.214,1.0,,,,,,,,15353106
,,1302,,432.2366,10.214,1.0,,,,,,,,14465829
,,1308,,460.26782,10.214,1.0,,,,,,,,54251200
,,1334,,297.24133,10.238,1.0,,,,,,,,16022577
,,1336,,315.25183,10.238,1.0,,,,,,,,14134739
,,1344,,337.23355,10.238,1.0,,,,,,,,13014711
,,1425,,330.33551,10.786,1.0,,,,,,,,29649719
,,1550,,255.23109,11.353,1.0,,,,,,,,38958563
,,1552,,273.24142,11.353,1.0,,,,,,,,12141855
,,1594,,271.22574,11.522,1.0,,,,,,,,22070631
,,1624,,226.01122,11.655,1.0,,,,,,,,39511766
,,1636,,214.25212,11.751,1.0,,,,,,,,11528792
,,1642,,281.24655,11.751,1.0,,,,,,,,25765822
,,1644,,299.25702,11.751,1.0,,,,,,,,22921103
,,1696,,83.06081,11.932,1.0,,,,,,,,5687927240
,,1703,,64.01646,11.956,1.0,,,,,,,,59959583
,,1708,,105.04241,11.956,1.0,,,,,,,,52321189
,,1719,,184.98486,11.956,1.0,,,,,,,,15321907
,,1721,,226.0112,11.956,1.0,,,,,,,,19514118
,,1740,,113.07093,12.016,1.0,,,,,,,,86967281
,,1748,,140.08141,12.028,1.0,,,,,,,,116537860
,,1749,,141.08459,12.028,1.0,,,,,,,,7980288
,,1755,,56.05027,12.039,1.0,,,,,,,,158170707
,,1763,,102.09151,12.051,1.0,,,,,,,,376191661
,,1770,,60.0451,12.074,1.0,,,,,,,,700925092
,,1778,,81.04517,12.097,1.0,,,,,,,,164526223
,,1782,,112.05049,12.108,1.0,,,,,,,,264053303
,,1783,,150.10211,12.108,1.0,,,,,,,,513188763
,,1784,,165.12544,12.108,1.0,,,,,,,,183469771
,,1791,,124.08669,12.131,1.0,,,,,,,,22447077532
,,1792,,125.09007,12.131,1.0,,,,,,,,1649492723
,,1799,,100.06323,12.143,1.0,,,,,,,,168214713
,,1808,,57.07062,12.189,1.0,,,,,,,,259304285
,,1813,,84.08115,12.189,1.0,,,,,,,,8729384877
,,1816,,101.07108,12.189,1.0,,,,,,,,256577033
,,1818,,141.10168,12.189,1.0,,,,,,,,350622639
,,1819,,142.1096,12.189,1.0,,,,,,,,425128901
,,1829,,127.08632,12.212,1.0,,,,,,,,386696515
,,1831,,159.07587,12.212,1.0,,,,,,,,289702766
,,1843,,117.06572,12.223,1.0,,,,,,,,132245285
,,1846,,174.09926,12.223,1.0,,,,,,,,116074414
,,1849,,99.09189,12.258,1.0,,,,,,,,473981713
,,1858,,85.08458,12.27,1.0,,,,,,,,230760571
,,1865,,57.07064,12.281,1.0,,,,,,,,137006951
,,1871,,71.08614,12.281,1.0,,,,,,,,84788630
,,1873,,84.08121,12.281,1.0,,,,,,,,3673066826
,,1880,,98.09672,12.281,1.0,,,,,,,,124661869
,,1884,,114.07333,12.281,1.0,,,,,,,,77413289
